birth_year,race,ethnicity,education_level,sex,political_affiliation,has_children,presidential_vote,residential_location,sports_fan,title_ix_tot,womens_sports_growth
1960,White or Caucasian,Not Latino or Hispanic,HIGH SCHOOL GRADUATE/HIGH SCHOOL DIPLOMA OR EQUIVALENT (i.e. GED),Male,Independent,No,Donald Trump,Rural,Yes,Favorable,"A major factor, but not the main factor"
1955,White or Caucasian,Not Latino or Hispanic,BACHELORS DEGREE (BA-BS-4 YEARS OF COLLEGE),Male,Democrat,No,Joe Biden,A small town,Yes,Favorable,"A major factor, but not the main factor"
1957,White or Caucasian,Not Latino or Hispanic,MASTERS/GRADUATE/PhD/PROFESSIONAL DEGREE (MA-MS-JD),Male,Independent,No,Donald Trump,A big city,Yes,Favorable,"A major factor, but not the main factor"
1944,White or Caucasian,Not Latino or Hispanic,MASTERS/GRADUATE/PhD/PROFESSIONAL DEGREE (MA-MS-JD),Female,Democrat,No,Joe Biden,A small city,No,Favorable,"A major factor, but not the main factor"
1951,White or Caucasian,Not Latino or Hispanic,MASTERS/GRADUATE/PhD/PROFESSIONAL DEGREE (MA-MS-JD),Male,Independent,No,Joe Biden,Suburban,No,Unfavorable,"A major factor, but not the main factor"
1947,White or Caucasian,Not Latino or Hispanic,MASTERS/GRADUATE/PhD/PROFESSIONAL DEGREE (MA-MS-JD),Male,Independent,No,Joe Biden,A small town,No,Favorable,The main factor
1953,White or Caucasian,Not Latino or Hispanic,ASSOCIATES DEGREE (2 YEARS OF COLLEGE),Female,Democrat,No,Joe Biden,A big city,Yes,Favorable,"A major factor, but not the main factor"
1973,White or Caucasian,Not Latino or Hispanic,MASTERS/GRADUATE/PhD/PROFESSIONAL DEGREE (MA-MS-JD),Male,Republican,Yes,Joe Biden,A small city,Yes,Favorable,"A major factor, but not the main factor"
1940,Unsure,Not Latino or Hispanic,HIGH SCHOOL GRADUATE/HIGH SCHOOL DIPLOMA OR EQUIVALENT (i.e. GED),Male,Independent,No,Joe Biden,A small town,Yes,Unfavorable,A minor factor
1960,White or Caucasian,Not Latino or Hispanic,SOME COLLEGE BUT NO DEGREE,Female,Independent,No,Donald Trump,A small town,Yes,Favorable,"A major factor, but not the main factor"
