Income,Gender,Age,Political Affiliation,Level of Education,Climate Change
68000,Female,56,Democrat,High school,DK/REF
46000,Male,63,Independent,Some college,Real but not Caused by People
51000,Male,48,Republican,High school,Not Real At All
54000,Female,64,Democrat,Some college,Real and Caused by People
83000,Male,61,Independent,College degree,Real but not Caused by People
90000,Female,64,Republican,High school,Real and Caused by People
5000,Female,68,Democrat,Some college,Real and Caused by People
57000,Female,63,Democrat,College degree,Real and Caused by People
47000,Female,44,Independent,High school,Real and Caused by People
39000,Female,57,Democrat,College degree,Real and Caused by People
5000,Female,62,Democrat,College degree,DK/REF
84000,Male,62,Republican,College degree,Real and Caused by People
104000,Male,46,Independent,Graduate degree,Real and Caused by People
23000,Female,62,Democrat,High school,Real but not Caused by People
55000,Female,40,Republican,College degree,Not Real At All
194000,Female,54,Democrat,College degree,Real and Caused by People
82000,Male,62,Republican,College degree,Not Real At All
22000,Female,50,Democrat,High school,Real and Caused by People
5000,Female,60,Democrat,Some college,Real and Caused by People
39000,Male,19,Independent,High school,Real and Caused by People
58000,Male,61,Independent,College degree,Real but not Caused by People
54000,Female,57,Democrat,High school,Not Real At All
73000,Male,36,DK/REF,College degree,Real and Caused by People
26000,Female,63,Democrat,High school,Real and Caused by People
61000,Female,55,Independent,High school,Real and Caused by People
67000,Female,56,Republican,College degree,Real and Caused by People
30000,Female,74,Independent,High school,Real and Caused by People
52000,Female,33,DK/REF,College degree,Not Real At All
106000,Male,45,DK/REF,College degree,Not Real At All
21000,Male,41,Democrat,High school,Real and Caused by People
107000,Male,76,Independent,College degree,Real and Caused by People
53000,Female,65,Republican,College degree,Real and Caused by People
26000,Male,48,Independent,Graduate degree,Real and Caused by People
126000,Male,46,Independent,Some college,Real but not Caused by People
179000,Male,50,Republican,Graduate degree,Not Real At All
122000,Female,48,Republican,College degree,Not Real At All
113000,Female,54,Independent,Graduate degree,Real and Caused by People
140000,Male,21,Independent,Some college,Real and Caused by People
207000,Female,48,Independent,Graduate degree,Real and Caused by People
182000,Female,42,Independent,Graduate degree,Real and Caused by People
71000,Female,40,Independent,Graduate degree,Real and Caused by People
77000,Male,18,Republican,High school,Real but not Caused by People
57000,Female,60,Republican,College degree,Real and Caused by People
101000,Male,45,Independent,College degree,Real but not Caused by People
152000,Male,30,Republican,College degree,Real but not Caused by People
35000,Male,63,Republican,Graduate degree,Real but not Caused by People
109000,Male,51,Democrat,College degree,Real and Caused by People
87000,Male,56,Republican,High school,Real and Caused by People
79000,Female,62,Democrat,Graduate degree,Real and Caused by People
73000,Female,46,Democrat,Some college,DK/REF
250000,Male,48,Democrat,College degree,Real and Caused by People
21000,Female,64,Democrat,College degree,Real but not Caused by People
80000,Female,62,Republican,College degree,Real and Caused by People
133000,Male,53,Independent,College degree,DK/REF
74000,Female,85,Democrat,Graduate degree,Not Real At All
67000,Male,55,Democrat,Some college,Real but not Caused by People
